set,before_path,after_path,before_w,before_h,after_w,after_h,note
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session11\before\era3_2024-2025_session11_img_007.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session11\after\era3_2024-2025_session11_img_007.JPG,5168,3448,3448,5168,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session20\before\era1_2020-2021_session20_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session20\after\era1_2020-2021_session20_img_003.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session27\before\era2_2022-2023_session27_img_009.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session27\after\era2_2022-2023_session27_img_009.JPG,5472,3648,3299,4948,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session11\before\era1_2020-2021_session11_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session11\after\era1_2020-2021_session11_img_003.JPG,2736,1824,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session27\before\era2_2022-2023_session27_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session27\after\era2_2022-2023_session27_img_001.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session32\before\era2_2022-2023_session32_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session32\after\era2_2022-2023_session32_img_001.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session16\before\era1_2020-2021_session16_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session16\after\era1_2020-2021_session16_img_001.JPG,2736,1824,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session39\before\era3_2024-2025_session39_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session39\after\era3_2024-2025_session39_img_003.JPG,6960,4640,6960,4640,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session11\before\era2_2022-2023_session11_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session11\after\era2_2022-2023_session11_img_002.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session21\before\era2_2022-2023_session21_img_007.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session21\after\era2_2022-2023_session21_img_007.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session25\before\era2_2022-2023_session25_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session25\after\era2_2022-2023_session25_img_001.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session34\before\era3_2024-2025_session34_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session34\after\era3_2024-2025_session34_img_001.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session42\before\era3_2024-2025_session42_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session42\after\era3_2024-2025_session42_img_005.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session21\before\era3_2024-2025_session21_img_011.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session21\after\era3_2024-2025_session21_img_011.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session3\before\era3_2024-2025_session3_img_008.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session3\after\era3_2024-2025_session3_img_008.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session18\before\era2_2022-2023_session18_img_007.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session18\after\era2_2022-2023_session18_img_007.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session35\before\era3_2024-2025_session35_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session35\after\era3_2024-2025_session35_img_005.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session26\before\era3_2024-2025_session26_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session26\after\era3_2024-2025_session26_img_003.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session39\before\era2_2022-2023_session39_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session39\after\era2_2022-2023_session39_img_005.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session39\before\era2_2022-2023_session39_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session39\after\era2_2022-2023_session39_img_002.JPG,5472,3648,3464,5197,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session51\before\era3_2024-2025_session51_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session51\after\era3_2024-2025_session51_img_002.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session2\before\era3_2024-2025_session2_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session2\after\era3_2024-2025_session2_img_003.JPG,5472,3648,5472,3648,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session21\before\era3_2024-2025_session21_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session21\after\era3_2024-2025_session21_img_005.JPG,6960,4640,6960,4640,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session32\before\era3_2024-2025_session32_img_020.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session32\after\era3_2024-2025_session32_img_020.JPG,6960,4640,4514,6771,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session2\before\era2_2022-2023_session2_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session2\after\era2_2022-2023_session2_img_001.JPG,2736,1824,1824,2736,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session57\before\era3_2024-2025_session57_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session57\after\era3_2024-2025_session57_img_004.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session45\before\era2_2022-2023_session45_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session45\after\era2_2022-2023_session45_img_001.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session14\before\era2_2022-2023_session14_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session14\after\era2_2022-2023_session14_img_004.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session6\before\era2_2022-2023_session6_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session6\after\era2_2022-2023_session6_img_003.JPG,5472,3648,5472,3648,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session13\before\era1_2020-2021_session13_img_007.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session13\after\era1_2020-2021_session13_img_007.JPG,2736,1824,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session21\before\era3_2024-2025_session21_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session21\after\era3_2024-2025_session21_img_004.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session20\before\era2_2022-2023_session20_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session20\after\era2_2022-2023_session20_img_001.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session2\before\era3_2024-2025_session2_img_006.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session2\after\era3_2024-2025_session2_img_006.JPG,5472,3648,5472,3648,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session25\before\era2_2022-2023_session25_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session25\after\era2_2022-2023_session25_img_003.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session32\before\era3_2024-2025_session32_img_023.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session32\after\era3_2024-2025_session32_img_023.JPG,6960,4640,4388,6582,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session12\before\era3_2024-2025_session12_img_014.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session12\after\era3_2024-2025_session12_img_014.JPG,6960,4640,5830,3887,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session33\before\era3_2024-2025_session33_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session33\after\era3_2024-2025_session33_img_002.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session45\before\era2_2022-2023_session45_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session45\after\era2_2022-2023_session45_img_005.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session12\before\era1_2020-2021_session12_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session12\after\era1_2020-2021_session12_img_001.JPG,2736,1824,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session12\before\era1_2020-2021_session12_img_008.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session12\after\era1_2020-2021_session12_img_008.JPG,2736,1824,5472,3648,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session15\before\era3_2024-2025_session15_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session15\after\era3_2024-2025_session15_img_004.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session11\before\era3_2024-2025_session11_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session11\after\era3_2024-2025_session11_img_001.JPG,5168,3448,3341,5011,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session12\before\era1_2020-2021_session12_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session12\after\era1_2020-2021_session12_img_004.JPG,2736,1824,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session19\before\era2_2022-2023_session19_img_011.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session19\after\era2_2022-2023_session19_img_011.JPG,5472,3648,3412,5118,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session48\before\era2_2022-2023_session48_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session48\after\era2_2022-2023_session48_img_001.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session29\before\era2_2022-2023_session29_img_007.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session29\after\era2_2022-2023_session29_img_007.JPG,5472,3648,5472,3648,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session37\before\era3_2024-2025_session37_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session37\after\era3_2024-2025_session37_img_002.JPG,6960,4640,4167,6250,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session18\before\era1_2020-2021_session18_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session18\after\era1_2020-2021_session18_img_002.JPG,2736,1824,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session17\before\era2_2022-2023_session17_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session17\after\era2_2022-2023_session17_img_005.JPG,5472,3648,3357,5036,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session50\before\era3_2024-2025_session50_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session50\after\era3_2024-2025_session50_img_002.JPG,6960,4640,4479,6717,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session31\before\era3_2024-2025_session31_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session31\after\era3_2024-2025_session31_img_002.JPG,6960,4640,4408,6612,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session3\before\era2_2022-2023_session3_img_007.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session3\after\era2_2022-2023_session3_img_007.JPG,2736,1824,1824,2736,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session49\before\era3_2024-2025_session49_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session49\after\era3_2024-2025_session49_img_005.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session40\before\era2_2022-2023_session40_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session40\after\era2_2022-2023_session40_img_004.JPG,5472,3648,3315,4973,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session26\before\era2_2022-2023_session26_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session26\after\era2_2022-2023_session26_img_002.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session44\before\era2_2022-2023_session44_img_007.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session44\after\era2_2022-2023_session44_img_007.JPG,5472,3648,5346,3564,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session18\before\era2_2022-2023_session18_img_006.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session18\after\era2_2022-2023_session18_img_006.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session25\before\era3_2024-2025_session25_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session25\after\era3_2024-2025_session25_img_004.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session49\before\era3_2024-2025_session49_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session49\after\era3_2024-2025_session49_img_004.JPG,6960,4640,4640,6960,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session50\before\era3_2024-2025_session50_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session50\after\era3_2024-2025_session50_img_001.JPG,6960,4640,4547,6820,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session6\before\era1_2020-2021_session6_img_011.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session6\after\era1_2020-2021_session6_img_011.JPG,2736,1824,5472,3648,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session14\before\era1_2020-2021_session14_img_004.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era1_2020-2021\session14\after\era1_2020-2021_session14_img_004.JPG,2736,1824,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session47\before\era2_2022-2023_session47_img_003.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session47\after\era2_2022-2023_session47_img_003.JPG,5472,3648,3461,5191,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session31\before\era2_2022-2023_session31_img_005.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session31\after\era2_2022-2023_session31_img_005.JPG,5472,3648,5472,3648,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session46\before\era2_2022-2023_session46_img_006.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session46\after\era2_2022-2023_session46_img_006.JPG,5472,3648,3648,5472,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session44\before\era2_2022-2023_session44_img_001.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era2_2022-2023\session44\after\era2_2022-2023_session44_img_001.JPG,5472,3648,3544,5316,
train,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session34\before\era3_2024-2025_session34_img_002.JPG,C:\Users\basie\Downloads\BASI_Edit_Agent_Starter\BASI_ARCHIVE\era3_2024-2025\session34\after\era3_2024-2025_session34_img_002.JPG,6960,4640,4640,6960,
